34.97,36.786,34.479,34.991,32.242,32.633
34.758,36.547,34.614,34.159,32.9,32.737
34.591,35.449,35.444,34.591,34.412,33.656
34.848,35.346,35.874,35.045,34.641,34.528
34.784,35.759,36.951,36.443,34.673,34.819
35.364,37.255,37.166,36.373,34.412,35.013
35.622,39.37,36.693,37.456,35.425,35.401
35.751,38.132,35.53,37.072,35.392,36.499
35.235,36.481,34.453,36.862,36.078,36.628
32.753,33.385,32.472,34.067,33.856,34.141
31.883,32.921,31.486,32.497,33.007,31.848
30.174,31.063,31.737,30.527,31.209,31.307
32.946,32.026,33.348,32.549,32.576,32.369
35.852,34.897,36.773,35.837,35.078,36.37
40.433,39.837,40.352,39.757,39.539,40.168
43.271,43.831,44.248,41.467,41.34,41.161
43.848,44.97,45.406,42.052,40.87,39.649
43.641,44.526,44.504,41.735,38.736,36.898
43.477,41.927,43.344,40.065,38.011,36.555
43.421,41.233,42.163,38.99,36.882,34.692
41.166,38.792,41.906,35.801,35.151,34.592
39.594,40.205,41.642,35.946,32.25,33.769
38.355,38.72,40.352,35.502,31.563,35.423
38.166,39.688,39.592,36.574,30.119,NaN
39.321,37.742,37.523,36.985,29.339,NaN
39.889,38.603,37.243,35.081,28.087,NaN
41.285,39.111,37.436,36.194,28.933,NaN
41.894,39.88,38.068,35.06,29.817,NaN
41.492,38.699,38.355,35.499,31.076,NaN
40.179,39.076,38.991,35.999,NaN,NaN
39.86,38.088,37.435,35.749,NaN,NaN
39.97,38.345,37.476,35.799,NaN,NaN
42.57,38.611,35.716,33.786,NaN,NaN
40.188,39.992,36.811,33.733,NaN,NaN
40.743,39.816,36.138,33.826,NaN,NaN
39.848,40.997,35.824,NaN,NaN,NaN
41.197,40.952,37.278,NaN,NaN,NaN
41.204,41.234,37.852,NaN,NaN,NaN
41.746,38.826,41.152,NaN,NaN,NaN
42.641,38.602,NaN,NaN,NaN,NaN
42.63,40.409,NaN,NaN,NaN,NaN
41.987,41.716,NaN,NaN,NaN,NaN
40.962,43.238,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
